Valeur fonciere,Nombre pieces principales,Surface reelle bati,lat,long
88000.0,1.0,25.0,45.1872015,5.7158946
131250.0,2.0,51.0,45.176942,5.712251970151426
218700.0,3.0,71.0,45.2052173,5.8438474
180000.0,4.0,91.0,45.0799368,5.7719683
194000.0,2.0,49.0,45.240871,5.8874947
203170.0,3.0,69.0,45.2766205,5.6500231
45000.0,1.0,18.0,45.1646495,5.7264658
80000.0,1.0,25.0,45.1784262,5.7261167
32000.0,2.0,37.0,45.3669338,5.5845398
198390.0,4.0,80.0,45.0827423,5.7701194
87700.0,2.0,50.0,45.16616,5.7240848
125000.0,2.0,80.0,45.1922942,5.7277711
120000.0,2.0,48.0,45.2367866,5.8853305
165000.0,3.0,60.0,45.0520593,5.7829396
223850.0,3.0,62.0,45.2768383,5.924741
157000.0,3.0,53.0,45.3770955,5.6451928
131000.0,2.0,53.0,45.1943626,5.727212
65000.0,1.0,24.0,45.1680155,5.7265648
37800.0,1.0,18.0,45.1646495,5.7264658
158000.0,2.0,32.0,45.3669338,5.5845398
158000.0,2.0,37.0,45.3669338,5.5845398
158000.0,2.0,18.0,45.3669338,5.5845398
158000.0,2.0,37.0,45.3669338,5.5845398
185000.0,3.0,78.0,45.4328295,6.0214144
194450.0,3.0,62.0,45.3129472,5.9622462
126000.0,3.0,56.0,45.165437,5.7254419
123000.0,3.0,66.0,45.1655238,5.7268058
78500.0,1.0,28.0,45.1829187,5.730831497118848
233000.0,3.0,64.0,45.2179226,5.8609928
103900.0,1.0,30.0,45.1763482,5.7342693
128000.0,1.0,35.0,45.2027307,5.8401972
281725.0,5.0,101.0,45.215205,5.858962
155000.0,4.0,79.0,45.3782606,6.0500618
128000.0,2.0,47.0,45.4323114,6.0198786
157350.0,2.0,49.0,45.215205,5.858962
87500.0,3.0,55.0,45.36543605,5.592687024269979
191000.0,3.0,80.0,45.1830797,5.726908
157889.0,2.0,41.0,45.2345888,5.6873543
127000.0,2.0,52.0,45.2512589,5.90063
530000.0,6.0,225.0,45.1892555,5.7237765
240500.0,3.0,73.0,45.2437433,5.6734265
128550.0,2.0,46.0,45.367329,5.5838697
48000.0,2.0,29.0,45.3908811,6.0738029
227000.0,3.0,62.0,45.21283315,5.699825738018515
212800.0,3.0,64.0,45.3382334,5.9753192
140650.0,4.0,78.0,45.4310191,6.0233248
130000.0,3.0,56.0,45.180611,5.7301389
110000.0,3.0,64.0,45.1667,5.7366261
129000.0,4.0,82.0,45.1672649,5.7263454
229850.0,3.0,60.0,45.175307399999994,5.732305181128085
56000.0,2.0,43.0,45.389319,6.0699914
85000.0,1.0,38.0,45.3870118,5.736285
85000.0,1.0,28.0,45.3870118,5.736285
85000.0,1.0,35.0,45.3870118,5.736285
141500.0,2.0,51.0,45.3655587,5.5937736
80000.0,1.0,36.0,45.3782606,6.0500618
176500.0,3.0,65.0,45.3655587,5.5937736
59000.0,1.0,19.0,45.1679996,5.7284425
140200.0,2.0,48.0,45.3789742,5.649146
93000.0,1.0,20.0,45.1924015,5.724105662892931
69000.0,1.0,28.0,45.182853449999996,5.730358402915952
260000.0,4.0,103.0,45.1872595,5.7287207
123750.0,3.0,75.0,45.1679584,5.7254461
170900.0,4.0,87.0,45.0772726,5.7718866
267000.0,4.0,84.0,45.2404012,5.6882588
333550.0,6.0,210.0,45.403048,5.6087748313253
52000.0,1.0,27.0,45.1142942,5.876736
222600.0,3.0,71.0,45.1772822,5.732121
290000.0,3.0,79.0,45.22583035,5.681487486886178
154500.0,3.0,55.0,45.3993543,5.5812185
305000.0,4.0,102.0,45.3658548,5.590933
150000.0,4.0,78.0,45.3670408,5.594700602500668
116600.0,2.0,41.0,45.1372025,5.8252244
54000.0,0.0,10.0,45.1874276,5.727902
100000.0,2.0,54.0,45.2596426,5.9057179
72700.0,4.0,73.0,45.16203875,5.7362174717575565
168000.0,4.0,75.0,45.4323114,6.0198786
134400.0,2.0,47.0,45.1885403,5.7236217
96544.8,4.0,86.0,45.3015478,5.9511667
284000.0,7.0,115.0,45.3669338,5.5845398
715000.0,6.0,226.0,45.1895296,5.7226016
226155.0,3.0,67.0,45.2442941,5.6771313
101020.0,2.0,54.0,45.3869572,5.7284757
310000.0,5.0,99.0,45.1821511,5.7333459
45000.0,1.0,10.0,45.1914207,5.7267295
125000.0,3.0,66.0,45.1655238,5.7268058
