APP_Libelle_activite_etablissement,Synthese_eval_sanit,ods_type_activite,latitude,longitude,semaine,jour
Entreposage de distribution de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,45.806882,4.771541,6,2
Autres,Satisfaisant,Autres,45.582506,4.773235,26,3
Découpe de viandes de volailles/lagomorphe,Très satisfaisant,Viandes et produits carnés,45.806882,4.771541,6,2
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.694195,4.467514,41,3
Restaurant,Très satisfaisant,Autres,46.103401,2.905426,35,3
Restauration collective,Très satisfaisant,Autres,46.534732,3.197112,35,2
Restauration collective,Très satisfaisant,Autres,45.47094,4.435757,15,4
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.680375,4.937987,16,4
Restauration collective,Satisfaisant,Autres,46.361904,6.675348,43,2
Restauration collective,Très satisfaisant,Autres,45.996216,6.249909,15,4
Restaurant,Satisfaisant,Autres,44.959274,3.84429,43,4
Traiteur|Boucherie-Charcuterie,A améliorer,Autres,45.673951,6.379066,43,3
Producteur fermier,Très satisfaisant,Autres,44.4127,4.888548,41,5
Restaurant,Très satisfaisant,Autres,45.692986,5.912122,10,1
Restauration collective,Satisfaisant,Autres,45.144089,4.125924,7,4
Restauration collective,Très satisfaisant,Autres,46.032989,4.237701,18,2
"VH, VSM, préparation viandes boucherie",Très satisfaisant,Viandes et produits carnés,44.919797,2.437631,38,5
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,44.919797,2.437631,38,5
Entreposage de distribution de denrées alimentaires,A améliorer,Transport et entreposage de denrées alimentaires,46.295687,6.304139,13,3
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.551638,6.646966,12,2
Restauration collective,Très satisfaisant,Autres,45.595749,5.246163,13,4
Restaurant,Satisfaisant,Autres,45.752671,4.830059,14,3
Producteur fermier,Très satisfaisant,Autres,44.4127,4.888548,41,5
Restaurant,Satisfaisant,Autres,45.692602,5.912837,10,1
Métier de bouche,Satisfaisant,Autres,46.295687,6.304139,22,2
Autres,Très satisfaisant,Transport et entreposage de denrées alimentaires,45.67214,4.921558,36,2
Restaurant,Satisfaisant,Autres,45.961445,5.35715,10,2
Restaurant,Satisfaisant,Autres,46.396981,2.669939,1,4
Restauration collective,Très satisfaisant,Autres,45.831072,3.152064,14,1
Boulangerie-Pâtisserie,Satisfaisant,Autres,45.781134,4.812511,45,2
Producteur fermier,Très satisfaisant,Autres,45.868634,4.732757,11,5
Restaurant,Très satisfaisant,Autres,45.762059,2.892573,15,3
Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,Très satisfaisant,Abattoirs,45.717471,6.574883,32,1
Producteur fermier,A améliorer,Autres,45.020502,4.587976,34,2
Restaurant,Satisfaisant,Autres,45.488607,5.592636,9,4
Restauration collective,Satisfaisant,Autres,45.461022,4.764641,37,2
Restaurant,Satisfaisant,Autres,45.757309,4.88067,1,2
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,44.919797,2.437631,36,4
Découpe de viande de boucherie,Très satisfaisant,Viandes et produits carnés,44.93747,2.442998,38,5
Boucherie-Charcuterie,Satisfaisant,Autres,45.891969,6.113089,2,2
Traiteur,Satisfaisant,Autres,44.414541,4.398629,29,5
Restaurant,Satisfaisant,Autres,46.109631,3.448613,20,2
Restaurant,Satisfaisant,Autres,45.271933,6.350749,42,1
Libre service|Alimentation générale,Satisfaisant,Autres,45.756726,4.848668,36,3
Restauration collective,Très satisfaisant,Autres,45.88168,3.118435,26,2
Restaurant,Très satisfaisant,Autres,45.759174,4.842967,44,4
Libre service,Satisfaisant,Autres,44.972399,4.890573,34,2
Restaurant,Satisfaisant,Autres,45.742929,4.876996,2,2
Restaurant,Très satisfaisant,Autres,46.30711,3.429749,34,2
Entreposage de distribution de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,45.462892,4.83183,2,3
Entreposage de distribution de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,45.203864,5.680394,48,4
Restauration collective,Très satisfaisant,Autres,44.913305,4.432104,43,2
Transformation de produits de la pêche,Très satisfaisant,Produits de la mer et d'eau douce,46.350439,6.403386,2,4
Boucherie-Charcuterie,Satisfaisant,Autres,45.391399,4.290358,2,3
Restauration collective,Satisfaisant,Autres,45.703016,6.11161,33,2
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,44.650522,4.362268,20,1
Producteur fermier,Satisfaisant,Autres,45.196129,5.484398,12,1
Producteur fermier,Très satisfaisant,Autres,45.287403,3.82212,5,3
Libre service|Alimentation générale,Satisfaisant,Autres,45.756184,4.877347,1,2
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,44.650522,4.362268,20,1
Restauration collective,Très satisfaisant,Autres,46.449317,3.03533,39,4
"VH, VSM, préparation viandes boucherie",Très satisfaisant,Viandes et produits carnés,45.729288,4.225846,20,5
Restaurant,Satisfaisant,Autres,45.693775,5.028711,1,3
Alimentation générale,Très satisfaisant,Autres,45.772602,4.981985,50,3
Traiteur|Boucherie-Charcuterie,Très satisfaisant,Autres,46.177116,4.81775,2,2
Traiteur,Satisfaisant,Autres,44.893778,4.653801,34,2
Restaurant,Satisfaisant,Autres,45.75423,4.842292,2,3
Restaurant,A améliorer,Autres,45.763626,4.863994,35,5
Mareyage et préparation de produits de la pêche,Très satisfaisant,Produits de la mer et d'eau douce,46.350439,6.403386,2,4
Autres,Très satisfaisant,Produits de la mer et d'eau douce,45.203864,5.680394,48,4
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.49043,2.538228,48,2
Transport de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,45.612674,4.046673,35,3
Restaurant,Satisfaisant,Autres,45.44269,4.398696,6,2
Producteur fermier,Satisfaisant,Autres,45.143033,3.470412,2,1
Libre service,A améliorer,Autres,45.75466,4.841511,43,4
Boucherie-Charcuterie,Satisfaisant,Autres,45.478383,3.72831,12,2
Restaurant,Très satisfaisant,Autres,44.912359,2.457638,48,4
"VH, VSM, préparation viandes boucherie",Satisfaisant,Viandes et produits carnés,45.085102,5.046392,23,4
Transformation de produits carnés,Satisfaisant,Viandes et produits carnés,45.810014,5.292835,43,5
Restaurant,Satisfaisant,Autres,45.048347,2.994452,21,1
Producteur fermier,Très satisfaisant,Autres,45.651569,6.333334,28,2
Autres,Satisfaisant,Autres,45.035488,4.061156,2,2
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,44.650522,4.362268,20,1
Restauration collective,Très satisfaisant,Autres,45.971605,4.746756,30,2
Autres,Très satisfaisant,Autres,46.061098,5.606906,46,4
Producteur fermier,Satisfaisant,Autres,44.866811,3.493213,13,2
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,46.274302,4.555251,24,3
Boucherie-Charcuterie,Très satisfaisant,Autres,45.757536,4.840899,11,5
Découpe de viande de boucherie,Très satisfaisant,Viandes et produits carnés,45.729288,4.225846,20,5
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.143033,3.470412,2,1
Autres,Très satisfaisant,Transport et entreposage de denrées alimentaires,44.968565,2.643742,10,2
Boucherie-Charcuterie,Satisfaisant,Autres,45.775767,4.801225,2,4
Restaurant,Satisfaisant,Autres,45.763044,4.868758,4,1
Libre service|Alimentation générale,Satisfaisant,Autres,45.759269,4.84211,2,4
Découpe de viandes de volailles/lagomorphe,Satisfaisant,Viandes et produits carnés,45.231655,4.961979,24,1
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.891554,4.407779,32,3
Restauration collective,Très satisfaisant,Autres,44.655067,4.764155,2,4
Boucherie-Charcuterie,Satisfaisant,Autres,45.500815,6.050177,29,3
Restaurant,Satisfaisant,Autres,45.7594,4.842569,46,1
Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,Abattoirs,46.298567,5.237178,49,2
Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,Abattoirs,46.31713,5.24079,49,2
Restauration collective,Satisfaisant,Autres,45.478446,3.72767,22,4
Producteur fermier,Très satisfaisant,Autres,45.069103,2.448377,41,2
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,45.57188,2.671331,20,3
